Name,Category,Variation,DIY,Buy,Sell,Color 1,Color 2,Source,Seasonal Availability,Mannequin Piece,Style,Villager Equippable
flower sunglasses,accessories,Red,No,770,192,Red,Black,Able Sisters,All Year,No,Cute,Yes
flower sunglasses,accessories,Orange,No,770,192,Orange,Black,Able Sisters,All Year,Yes,Cute,Yes
flower sunglasses,accessories,Blue,No,770,192,Blue,Black,Able Sisters,All Year,No,Cute,Yes
flower sunglasses,accessories,Purple,No,770,192,Purple,Black,Able Sisters,All Year,No,Cute,Yes
flower sunglasses,accessories,Green,No,770,192,Green,Black,Able Sisters,All Year,Yes,Cute,Yes
food mess,accessories,Pasta,No,490,122,Orange,Beige,Able Sisters,All Year,No,Simple,No
funny glasses,accessories,Brown,No,1100,275,Brown,Black,Able Sisters,All Year,No,Cute,Yes
funny glasses,accessories,Pink,No,1100,275,Pink,Black,Able Sisters,All Year,No,Cute,Yes
funny glasses,accessories,Blue,No,1100,275,Light blue,Black,Able Sisters,All Year,No,Cute,Yes
gas mask,accessories,Black,No,1100,275,Black,Black,Able Sisters,All Year,No,Cool,No
gas mask,accessories,Avocado,No,1100,275,Green,Green,Able Sisters,All Year,No,Cool,No
glass-bottle glasses,accessories,Black,No,1100,275,Black,Gray,Able Sisters,All Year,No,Simple,Yes
goatee,accessories,Black,No,980,245,Colorful,Colorful,Able Sisters,All Year,Yes,Cool,No
goggles,accessories,Black,No,560,140,Black,Black,Able Sisters,Summer,No,Active,Yes
goggles,accessories,Blue,No,560,140,Blue,Blue,Able Sisters,Summer,No,Active,Yes
goggles,accessories,Pink,No,560,140,Pink,Pink,Able Sisters,Summer,No,Active,Yes
goggles,accessories,Green,No,560,140,Green,Green,Able Sisters,Summer,No,Active,Yes
goggles,accessories,Purple,No,560,140,Purple,Purple,Able Sisters,Summer,No,Active,Yes
goggles,accessories,Red,No,560,140,Red,Red,Able Sisters,Summer,No,Active,Yes
handlebar mustache,accessories,Black,No,1120,280,Colorful,Colorful,Able Sisters,All Year,Yes,Elegant,No
heart shades,accessories,Pink,No,1040,260,Pink,Blue,Able Sisters,All Year,Yes,Cute,Yes
heart shades,accessories,Yellow,No,1040,260,Yellow,Blue,Able Sisters,All Year,No,Cute,Yes
heart shades,accessories,Blue,No,1040,260,Light blue,Blue,Able Sisters,All Year,No,Cute,Yes
heart shades,accessories,Purple,No,1040,260,Purple,Blue,Able Sisters,All Year,No,Cute,Yes
heart shades,accessories,Green,No,1040,260,Green,Blue,Able Sisters,All Year,No,Cute,Yes
HMD,accessories,White,No,2000,500,White,Black,Able Sisters,All Year,No,Cool,Yes
jester's mask,accessories,Black,No,1760,440,Black,White,Able Sisters,All Year,No,Cool,No
jester's mask,accessories,Red,No,1760,440,Red,White,Able Sisters,All Year,No,Cool,No
jester's mask,accessories,Green,No,1760,440,Green,White,Able Sisters,All Year,No,Cool,No
jester's mask,accessories,Blue,No,1760,440,Blue,White,Able Sisters,All Year,No,Cool,No
Labelle sunglasses,accessories,Twilight,No,2000,500,Purple,Purple,Labelle,All Year,No,Gorgeous,Yes
Labelle sunglasses,accessories,Midnight,No,2000,500,Black,Black,Labelle,All Year,No,Gorgeous,Yes
Labelle sunglasses,accessories,Passion,No,2000,500,Red,Red,Labelle,All Year,No,Gorgeous,Yes
Labelle sunglasses,accessories,Ocean,No,2000,500,Blue,Blue,Labelle,All Year,No,Gorgeous,Yes
Labelle sunglasses,accessories,Sunset,No,2000,500,Yellow,Yellow,Labelle,All Year,No,Gorgeous,Yes
Labelle sunglasses,accessories,Love,No,2000,500,Pink,Pink,Labelle,All Year,No,Gorgeous,Yes
ladder shades,accessories,Red,No,880,220,Red,Red,Able Sisters,All Year,No,Active,Yes
ladder shades,accessories,Blue,No,880,220,Blue,Blue,Able Sisters,All Year,No,Active,Yes
ladder shades,accessories,Green,No,880,220,Green,Green,Able Sisters,All Year,No,Active,Yes
ladder shades,accessories,Pink,No,880,220,Pink,Pink,Able Sisters,All Year,Yes,Active,Yes
ladder shades,accessories,Yellow,No,880,220,Yellow,Yellow,Able Sisters,All Year,No,Active,Yes
ladder shades,accessories,Gold,No,880,220,Brown,Brown,Able Sisters,All Year,No,Active,Yes
leaf,accessories,Green,Yes,NFS,100,Green,Green,Crafting,All Year,No,Simple,No
masquerade mask,accessories,Purple,No,910,227,Pink,Yellow,Able Sisters,All Year,No,Gorgeous,Yes
masquerade mask,accessories,Black,No,910,227,Black,Yellow,Able Sisters,All Year,No,Gorgeous,Yes
masquerade mask,accessories,Blue,No,910,227,Blue,Yellow,Able Sisters,All Year,No,Gorgeous,Yes
masquerade mask,accessories,Red,No,910,227,Red,Yellow,Able Sisters,All Year,No,Gorgeous,Yes
masquerade mask,accessories,Green,No,910,227,Green,Yellow,Able Sisters,All Year,No,Gorgeous,Yes
masquerade mask,accessories,Gold,No,910,227,Orange,Yellow,Able Sisters,All Year,No,Gorgeous,Yes
monocle,accessories,Black,No,1100,275,Black,Black,Able Sisters,All Year,Yes,Elegant,Yes
monocle,accessories,Gold,No,1100,275,Yellow,Yellow,Able Sisters,All Year,No,Elegant,Yes
monocle,accessories,Silver,No,1100,275,Gray,Gray,Able Sisters,All Year,No,Elegant,Yes
night-vision goggles,accessories,Black,No,1560,390,Black,Green,Able Sisters,All Year,No,Active,Yes
Nook Inc. eye mask,accessories,Green,No,NFS,2000,Green,White,Nook Miles Shop,All Year,No,Simple,Yes
nose drip,accessories,Light blue,No,490,122,Light blue,Light blue,Able Sisters,All Year,No,Simple,No
octagonal glasses,accessories,Gray,No,1100,275,Gray,Gray,Able Sisters,All Year,Yes,Cute,Yes
octagonal glasses,accessories,Green,No,1100,275,Green,Green,Able Sisters,All Year,No,Cute,Yes
octagonal glasses,accessories,Purple,No,1100,275,Purple,Purple,Able Sisters,All Year,Yes,Cute,Yes
octagonal glasses,accessories,Gold,No,1100,275,Beige,Beige,Able Sisters,All Year,Yes,Cute,Yes
octagonal glasses,accessories,Black,No,1100,275,Black,Black,Able Sisters,All Year,Yes,Cute,Yes
oval glasses,accessories,Green,No,880,220,Green,Green,Able Sisters,All Year,Yes,Simple,Yes
oval glasses,accessories,Orange,No,880,220,Orange,Orange,Able Sisters,All Year,Yes,Simple,Yes
oval glasses,accessories,Blue,No,880,220,Light blue,Light blue,Able Sisters,All Year,No,Simple,Yes
oval glasses,accessories,Purple,No,880,220,Purple,Purple,Able Sisters,All Year,No,Simple,Yes
oval glasses,accessories,Magenta,No,880,220,Red,Red,Able Sisters,All Year,Yes,Simple,Yes
oval glasses,accessories,Mustard,No,880,220,Yellow,Yellow,Able Sisters,All Year,No,Simple,Yes
oval glasses,accessories,Black,No,880,220,Black,Black,Able Sisters,All Year,No,Simple,Yes
pacifier,accessories,Baby purple,No,560,140,Pink,Pink,Able Sisters,All Year,No,Cute,No
pacifier,accessories,Baby mint,No,560,140,Light blue,Light blue,Able Sisters,All Year,No,Cute,No
pacifier,accessories,Baby yellow,No,560,140,Yellow,Yellow,Able Sisters,All Year,No,Cute,No
pacifier,accessories,Baby green,No,560,140,Green,Green,Able Sisters,All Year,No,Cute,No
pacifier,accessories,Baby pink,No,560,140,Red,Red,Able Sisters,All Year,No,Cute,No
pacifier,accessories,Baby gray,No,560,140,Gray,Gray,Able Sisters,All Year,No,Cute,No
pacifier,accessories,Baby blue,No,560,140,Purple,Purple,Able Sisters,All Year,No,Cute,No
pacifier,accessories,Baby orange,No,560,140,Orange,Orange,Able Sisters,All Year,No,Cute,No
pig nose,accessories,Pink,No,560,140,Pink,Pink,Able Sisters,All Year,No,Cute,No
pilot shades,accessories,Black,No,1300,325,Black,Brown,Able Sisters,All Year,No,Cool,Yes
pilot shades,accessories,Gold,No,1300,325,Yellow,Black,Able Sisters,All Year,Yes,Cool,Yes
pixel shades,accessories,Red,No,1320,330,Red,Black,Able Sisters,All Year,Yes,Cool,Yes
pixel shades,accessories,Green,No,1320,330,Green,Black,Able Sisters,All Year,No,Cool,Yes
pixel shades,accessories,Blue,No,1320,330,Blue,Black,Able Sisters,All Year,Yes,Cool,Yes
pixel shades,accessories,Black,No,1320,330,Black,Black,Able Sisters,All Year,No,Cool,Yes
pleather mask,accessories,Black,No,770,192,Black,Gray,Able Sisters,All Year,Yes,Cool,No
post-op patch,accessories,White,No,490,122,White,White,Able Sisters,All Year,No,Simple,Yes
privacy mask,accessories,Black,No,560,140,Black,Black,Able Sisters,All Year,Yes,Cool,No
reflector,accessories,Gray,No,560,140,Gray,Black,Able Sisters,All Year,No,Cool,Yes
retro shades,accessories,Yellow,No,1560,390,White,Orange,Able Sisters,All Year,No,Elegant,Yes
retro shades,accessories,Green,No,1560,390,Green,Green,Able Sisters,All Year,No,Elegant,Yes
retro shades,accessories,Red,No,1560,390,Pink,Red,Able Sisters,All Year,Yes,Elegant,Yes
retro shades,accessories,Purple,No,1560,390,Pink,Purple,Able Sisters,All Year,No,Elegant,Yes
retro shades,accessories,Blue,No,1560,390,Light blue,Green,Able Sisters,All Year,No,Elegant,Yes
retro shades,accessories,Gray,No,1560,390,Gray,Black,Able Sisters,All Year,No,Elegant,Yes
rhinestone shades,accessories,Red,No,1040,260,Red,Red,Able Sisters,All Year,No,Gorgeous,Yes
rhinestone shades,accessories,Ochre,No,1040,260,Brown,Black,Able Sisters,All Year,No,Gorgeous,Yes
rhinestone shades,accessories,Purple,No,1040,260,Purple,Black,Able Sisters,All Year,No,Gorgeous,Yes
rimmed glasses,accessories,Black,No,630,157,Black,Black,Able Sisters,All Year,Yes,Elegant,Yes
rimmed glasses,accessories,Gold,No,630,157,Yellow,Yellow,Able Sisters,All Year,No,Elegant,Yes
rimmed glasses,accessories,Gray,No,630,157,Gray,Gray,Able Sisters,All Year,No,Elegant,Yes
rimmed glasses,accessories,Brown,No,630,157,Brown,Brown,Able Sisters,All Year,Yes,Elegant,Yes
rimmed glasses,accessories,Purple,No,630,157,Purple,Purple,Able Sisters,All Year,Yes,Elegant,Yes
round shades,accessories,Black,No,1560,390,Black,Black,Able Sisters,All Year,Yes,Cool,Yes
round shades,accessories,Green,No,1560,390,Green,Black,Able Sisters,All Year,Yes,Cool,Yes
round shades,accessories,Blue,No,1560,390,Blue,Black,Able Sisters,All Year,No,Cool,Yes
round shades,accessories,Yellow,No,1560,390,Yellow,Black,Able Sisters,All Year,No,Cool,Yes
round shades,accessories,Pink,No,1560,390,Pink,Black,Able Sisters,All Year,No,Cool,Yes
round shades,accessories,Red,No,1560,390,Red,Black,Able Sisters,All Year,Yes,Cool,Yes
round shades,accessories,White,No,1560,390,White,Black,Able Sisters,All Year,No,Cool,Yes
round shades,accessories,Purple,No,1560,390,Purple,Black,Able Sisters,All Year,No,Cool,Yes
round tinted shades,accessories,Brown,No,880,220,Orange,Brown,Able Sisters,All Year,Yes,Simple,Yes
round tinted shades,accessories,Light brown,No,880,220,Orange,Brown,Able Sisters,All Year,No,Simple,Yes
round tinted shades,accessories,Dark brown,No,880,220,Brown,Brown,Able Sisters,All Year,Yes,Simple,Yes
round tinted shades,accessories,Green,No,880,220,Green,Brown,Able Sisters,All Year,No,Simple,Yes
rounded beard,accessories,Black,No,980,245,Colorful,Colorful,Able Sisters,All Year,No,Cool,No
shattered glasses,accessories,Black,No,NFS,10,Black,Light blue,Recycle bin,All Year,No,Simple,Yes
ski goggles,accessories,White,No,980,245,Orange,White,Able Sisters,Winter,Yes,Active,Yes
ski goggles,accessories,Yellow,No,980,245,Pink,Yellow,Able Sisters,Winter,No,Active,Yes
ski goggles,accessories,Purple,No,980,245,Green,Blue,Able Sisters,Winter,No,Active,Yes
ski goggles,accessories,Pink,No,980,245,Purple,Pink,Able Sisters,Winter,No,Active,Yes
ski goggles,accessories,Green,No,980,245,Blue,Green,Able Sisters,Winter,No,Active,Yes
ski goggles,accessories,Orange,No,980,245,Light blue,Orange,Able Sisters,Winter,No,Active,Yes
sporty shades,accessories,Black,No,1300,325,Black,Orange,Able Sisters,All Year,No,Active,Yes
sporty shades,accessories,White,No,1300,325,White,Orange,Able Sisters,All Year,No,Active,Yes
sporty shades,accessories,Pink,No,1300,325,Pink,Pink,Able Sisters,All Year,No,Active,Yes
sporty shades,accessories,Lime,No,1300,325,Green,Light blue,Able Sisters,All Year,No,Active,Yes
sporty shades,accessories,Light blue,No,1300,325,Light blue,Blue,Able Sisters,All Year,No,Active,Yes
square glasses,accessories,Brown,No,880,220,Brown,Brown,Able Sisters,All Year,Yes,Simple,Yes
square glasses,accessories,Black,No,880,220,Black,Black,Able Sisters,All Year,Yes,Simple,Yes
square glasses,accessories,Gray,No,880,220,Gray,Gray,Able Sisters,All Year,No,Simple,Yes
square glasses,accessories,Blue,No,880,220,Blue,Blue,Able Sisters,All Year,Yes,Simple,Yes
stache & glasses,accessories,Black,No,770,192,Black,Orange,Able Sisters,All Year,No,Cute,Yes
stache & glasses,accessories,Red,No,770,192,Red,Black,Able Sisters,All Year,No,Cute,Yes
star shades,accessories,Yellow,No,880,220,Yellow,Black,Able Sisters,All Year,No,Cute,Yes
star shades,accessories,Pink,No,880,220,Pink,Black,Able Sisters,All Year,No,Cute,Yes
star shades,accessories,Blue,No,880,220,Light blue,Black,Able Sisters,All Year,Yes,Cute,Yes
star shades,accessories,Purple,No,880,220,Purple,Black,Able Sisters,All Year,No,Cute,Yes
star shades,accessories,Green,No,880,220,Green,Black,Able Sisters,All Year,No,Cute,Yes
steampunk glasses,accessories,Green,No,1300,325,Brown,Green,Able Sisters,All Year,No,Gorgeous,Yes
steampunk glasses,accessories,Purple,No,1300,325,Brown,Purple,Able Sisters,All Year,No,Gorgeous,Yes
sticky rice,accessories,White,No,490,122,White,White,Able Sisters,All Year,No,Simple,No
superhero mask,accessories,Black,No,1040,260,Black,Black,Able Sisters,All Year,No,Cool,Yes
tiny shades,accessories,Gold,No,1100,275,Yellow,Black,Able Sisters,All Year,Yes,Cool,Yes
tiny shades,accessories,Black,No,1100,275,Black,Black,Able Sisters,All Year,No,Cool,Yes
tiny shades,accessories,Berry red,No,1100,275,Red,Black,Able Sisters,All Year,No,Cool,Yes
tortoise specs,accessories,Brown,No,1040,260,Brown,Orange,Able Sisters,All Year,Yes,Simple,Yes
tortoise specs,accessories,Beige,No,1040,260,Orange,Beige,Able Sisters,All Year,No,Simple,Yes
tortoise specs,accessories,Black,No,1040,260,Black,Beige,Able Sisters,All Year,Yes,Simple,Yes
triangle shades,accessories,Red,No,880,220,Red,Purple,Able Sisters,All Year,No,Cute,Yes
triangle shades,accessories,Orange,No,880,220,Orange,Purple,Able Sisters,All Year,No,Cute,Yes
triangle shades,accessories,Blue,No,880,220,Light blue,Purple,Able Sisters,All Year,No,Cute,Yes
triangle shades,accessories,Purple,No,880,220,Purple,Purple,Able Sisters,All Year,No,Cute,Yes
triangle shades,accessories,Green,No,880,220,Green,Purple,Able Sisters,All Year,No,Cute,Yes
triangle shades,accessories,White,No,880,220,White,Purple,Able Sisters,All Year,No,Cute,Yes
triangle shades,accessories,Black,No,880,220,Black,Purple,Able Sisters,All Year,No,Cute,Yes
wooden-frame glasses,accessories,Brown,No,1560,390,Brown,Gray,Able Sisters,All Year,Yes,Simple,Yes
wooden-frame glasses,accessories,Dark brown,No,1560,390,Brown,Yellow,Able Sisters,All Year,Yes,Simple,Yes
acorn pochette,bags,Brown,Yes,NFS,2400,Brown,Green,Crafting,All Year,,Cute,No
basket pack,bags,Green,Yes,NFS,2400,Green,Green,Crafting,All Year,,Simple,No
bug cage,bags,Green,No,NFS,122,Green,White,Bug-Off,All Year,,Active,No
Bunny Day bag,bags,,Yes,NFS,2400,Colorful,Colorful,Crafting,All Year,,Active,No
butterfly backpack,bags,Pink,No,NFS,210,Pink,Yellow,Bug-Off,All Year,,Cute,No
canvas backpack,bags,White,No,1300,325,White,Orange,Kicks,All Year,,Simple,No
cherry-blossom pochette,bags,Pink,Yes,NFS,2400,Pink,Pink,Crafting,All Year,,Cute,No
cloth shoulder bag,bags,Blue,No,1400,350,Light blue,Light blue,Kicks,All Year,,Simple,No
cloth shoulder bag,bags,Orange,No,1400,350,Orange,Orange,Kicks,All Year,,Simple,No
cloth shoulder bag,bags,Ivory,No,1400,350,White,White,Kicks,All Year,,Simple,No
crossbody bag,bags,Pink,No,700,175,Pink,Black,Kicks,All Year,,Active,No
crossbody bag,bags,Green,No,700,175,Green,Black,Kicks,All Year,,Active,No
crossbody bag,bags,Yellow,No,700,175,Yellow,Black,Kicks,All Year,,Active,No
crossbody bag,bags,White,No,700,175,White,Black,Kicks,All Year,,Active,No
crossbody boston bag,bags,Red,No,1680,420,Red,Black,Kicks,All Year,,Simple,No
crossbody boston bag,bags,Blue,No,1680,420,Blue,Black,Kicks,All Year,,Simple,No
DAL backpack,bags,Blue,No,NFS,1010,Blue,Black,Dodo Airlines,All Year,,Cool,No
dry bag,bags,Yellow,No,1040,260,Yellow,Black,Kicks,All Year,,Active,No
dry bag,bags,Blue,No,1040,260,Blue,Black,Kicks,All Year,,Active,No
evening bag,bags,Pink,No,1250,312,Pink,Yellow,Kicks,All Year,,Cute,No
evening bag,bags,Blue,No,1250,312,Blue,Yellow,Kicks,All Year,,Cute,No
evening bag,bags,Black,No,1250,312,Black,Yellow,Kicks,All Year,,Cute,No
extra-large backpack,bags,Red,No,2100,525,Red,Red,Kicks,All Year,,Active,No
extra-large backpack,bags,Green,No,2100,525,Green,Green,Kicks,All Year,,Active,No
extra-large backpack,bags,Black,No,2100,525,Black,Black,Kicks,All Year,,Active,No
extra-large backpack,bags,Blue,No,2100,525,Blue,Blue,Kicks,All Year,,Active,No
faux-fur bag,bags,Pink,No,1400,350,Pink,Yellow,Kicks,All Year,,Cute,No
faux-fur bag,bags,Purple,No,1400,350,Purple,Yellow,Kicks,All Year,,Cute,No
fish pochette,bags,Blue,No,NFS,210,Light blue,Blue,Fishing Tourney,All Year,,Cute,No
foldover-top backpack,bags,Green,No,1300,325,Green,Beige,Kicks,All Year,,Active,No
foldover-top backpack,bags,Blue,No,1300,325,Blue,Light blue,Kicks,All Year,,Active,No
foldover-top backpack,bags,Gray,No,1300,325,Gray,White,Kicks,All Year,,Active,No
foldover-top backpack,bags,Pink,No,1300,325,Pink,Purple,Kicks,All Year,,Active,No
gumdrop shoulder bag,bags,Pop,No,2000,500,Pink,Green,Kicks,All Year,,Simple,No
gumdrop shoulder bag,bags,Cool,No,2000,500,Purple,Light blue,Kicks,All Year,,Simple,No
hand-knit pouch,bags,Green,No,1250,312,Green,Green,Kicks,All Year,,Elegant,No
hand-knit pouch,bags,Purple,No,1250,312,Purple,Purple,Kicks,All Year,,Elegant,No
hard-shell backpack,bags,Blue,No,1680,420,Blue,Black,Kicks,All Year,,Cool,No
hard-shell backpack,bags,Red,No,1680,420,Red,Black,Kicks,All Year,,Cool,No
hard-shell backpack,bags,Silver,No,1680,420,Gray,Black,Kicks,All Year,,Cool,No
knapsack,bags,Blue,No,630,157,Blue,Black,Kicks,All Year,,Active,No
knapsack,bags,Black,No,630,157,Black,Black,Kicks,All Year,,Active,No
knitted-grass backpack,bags,Green,Yes,NFS,400,Green,Brown,Crafting,All Year,,Elegant,No
log pack,bags,Brown,Yes,NFS,960,Brown,Beige,Crafting,All Year,,Simple,No
maple-leaf pochette,bags,Red,Yes,NFS,2400,Orange,Orange,Crafting,All Year,,Simple,No
messenger bag,bags,Green,No,840,210,Green,Black,Kicks,All Year,,Simple,No
messenger bag,bags,Orange,No,840,210,Orange,Black,Kicks,All Year,,Simple,No
messenger bag,bags,Black,No,840,210,Black,Black,Kicks,All Year,,Simple,No
mini pleather bag,bags,White,No,1600,400,White,White,Kicks,All Year,,Elegant,No
mini pleather bag,bags,Black,No,1600,400,Black,Black,Kicks,All Year,,Elegant,No
Mom's knapsack,bags,M,No,NFS,175,Yellow,Beige,Mom,All Year,,Cute,No
Mom's knapsack,bags,Flowers,No,NFS,175,Gray,Beige,Mom,All Year,,Cute,No
Mom's knapsack,bags,Polka dots,No,NFS,175,Pink,Beige,Mom,All Year,,Cute,No
Mom's knapsack,bags,Colorful quilt design,No,NFS,175,Colorful,Beige,Mom,All Year,,Cute,No
Mom's knapsack,bags,Cherries,No,NFS,175,Light blue,Beige,Mom,All Year,,Cute,No
Mom's knapsack,bags,Denim with stripes,No,NFS,175,Blue,Beige,Mom,All Year,,Cute,No
Mom's knapsack,bags,Forest print,No,NFS,175,White,Beige,Mom,All Year,,Cute,No
Mom's knapsack,bags,Chick,No,NFS,175,Orange,Beige,Mom,All Year,,Cute,No
Nook Inc. knapsack,bags,Brown,No,NFS,4000,Brown,Yellow,Nook Miles Shop,All Year,,Gorgeous,No
outdoor backpack,bags,Avocado,No,1560,390,Green,Black,Kicks,All Year,,Active,No
outdoor backpack,bags,Orange,No,1560,390,Orange,Black,Kicks,All Year,,Active,No
outdoor backpack,bags,Navy blue,No,1560,390,Blue,Black,Kicks,All Year,,Active,No
pleather crossbody bag,bags,Navy blue,No,1120,280,Blue,Brown,Kicks,All Year,,Cool,No
pleather crossbody bag,bags,Black,No,1120,280,Black,White,Kicks,All Year,,Cool,No
