Category,DIY,Sell,Color 1,Color 2,Source,Seasonal Availability,Mannequin Piece,Style,Villager Equippable
accessories,No,140,Gray,Black,Able Sisters,All Year,No,Simple,Yes
accessories,No,140,Green,Black,Able Sisters,All Year,No,Simple,Yes
accessories,No,140,Orange,Black,Able Sisters,All Year,No,Simple,Yes
accessories,No,140,Red,Black,Able Sisters,All Year,No,Simple,Yes
accessories,No,35,Black,Black,Able Sisters,All Year,No,Cool,Yes
accessories,No,140,White,White,Able Sisters,All Year,No,Simple,No
accessories,No,122,Red,Red,Able Sisters,All Year,No,Cute,No
accessories,No,192,Red,Black,Able Sisters,All Year,No,Cute,Yes
accessories,No,192,Orange,Black,Able Sisters,All Year,Yes,Cute,Yes
accessories,No,192,Blue,Black,Able Sisters,All Year,No,Cute,Yes
accessories,No,192,Purple,Black,Able Sisters,All Year,No,Cute,Yes
accessories,No,192,Green,Black,Able Sisters,All Year,Yes,Cute,Yes
accessories,No,122,Orange,Beige,Able Sisters,All Year,No,Simple,No
accessories,No,275,Brown,Black,Able Sisters,All Year,No,Cute,Yes
accessories,No,275,Pink,Black,Able Sisters,All Year,No,Cute,Yes
accessories,No,275,Light blue,Black,Able Sisters,All Year,No,Cute,Yes
accessories,No,275,Black,Black,Able Sisters,All Year,No,Cool,No
accessories,No,275,Green,Green,Able Sisters,All Year,No,Cool,No
accessories,No,275,Black,Gray,Able Sisters,All Year,No,Simple,Yes
accessories,No,245,Colorful,Colorful,Able Sisters,All Year,Yes,Cool,No
accessories,No,140,Black,Black,Able Sisters,Summer,No,Active,Yes
accessories,No,140,Blue,Blue,Able Sisters,Summer,No,Active,Yes
accessories,No,140,Pink,Pink,Able Sisters,Summer,No,Active,Yes
accessories,No,140,Green,Green,Able Sisters,Summer,No,Active,Yes
accessories,No,140,Purple,Purple,Able Sisters,Summer,No,Active,Yes
accessories,No,140,Red,Red,Able Sisters,Summer,No,Active,Yes
accessories,No,280,Colorful,Colorful,Able Sisters,All Year,Yes,Elegant,No
accessories,No,260,Pink,Blue,Able Sisters,All Year,Yes,Cute,Yes
accessories,No,260,Yellow,Blue,Able Sisters,All Year,No,Cute,Yes
accessories,No,260,Light blue,Blue,Able Sisters,All Year,No,Cute,Yes
accessories,No,260,Purple,Blue,Able Sisters,All Year,No,Cute,Yes
accessories,No,260,Green,Blue,Able Sisters,All Year,No,Cute,Yes
accessories,No,500,White,Black,Able Sisters,All Year,No,Cool,Yes
accessories,No,440,Black,White,Able Sisters,All Year,No,Cool,No
accessories,No,440,Red,White,Able Sisters,All Year,No,Cool,No
accessories,No,440,Green,White,Able Sisters,All Year,No,Cool,No
accessories,No,440,Blue,White,Able Sisters,All Year,No,Cool,No
accessories,No,500,Purple,Purple,Labelle,All Year,No,Gorgeous,Yes
accessories,No,500,Black,Black,Labelle,All Year,No,Gorgeous,Yes
accessories,No,500,Red,Red,Labelle,All Year,No,Gorgeous,Yes
accessories,No,500,Blue,Blue,Labelle,All Year,No,Gorgeous,Yes
accessories,No,500,Yellow,Yellow,Labelle,All Year,No,Gorgeous,Yes
accessories,No,500,Pink,Pink,Labelle,All Year,No,Gorgeous,Yes
accessories,No,220,Red,Red,Able Sisters,All Year,No,Active,Yes
accessories,No,220,Blue,Blue,Able Sisters,All Year,No,Active,Yes
accessories,No,220,Green,Green,Able Sisters,All Year,No,Active,Yes
accessories,No,220,Pink,Pink,Able Sisters,All Year,Yes,Active,Yes
accessories,No,220,Yellow,Yellow,Able Sisters,All Year,No,Active,Yes
accessories,No,220,Brown,Brown,Able Sisters,All Year,No,Active,Yes
accessories,Yes,100,Green,Green,Crafting,All Year,No,Simple,No
accessories,No,227,Pink,Yellow,Able Sisters,All Year,No,Gorgeous,Yes
accessories,No,227,Black,Yellow,Able Sisters,All Year,No,Gorgeous,Yes
accessories,No,227,Blue,Yellow,Able Sisters,All Year,No,Gorgeous,Yes
accessories,No,227,Red,Yellow,Able Sisters,All Year,No,Gorgeous,Yes
accessories,No,227,Green,Yellow,Able Sisters,All Year,No,Gorgeous,Yes
accessories,No,227,Orange,Yellow,Able Sisters,All Year,No,Gorgeous,Yes
accessories,No,275,Black,Black,Able Sisters,All Year,Yes,Elegant,Yes
accessories,No,275,Yellow,Yellow,Able Sisters,All Year,No,Elegant,Yes
accessories,No,275,Gray,Gray,Able Sisters,All Year,No,Elegant,Yes
accessories,No,390,Black,Green,Able Sisters,All Year,No,Active,Yes
accessories,No,122,Light blue,Light blue,Able Sisters,All Year,No,Simple,No
accessories,No,275,Gray,Gray,Able Sisters,All Year,Yes,Cute,Yes
accessories,No,275,Green,Green,Able Sisters,All Year,No,Cute,Yes
accessories,No,275,Purple,Purple,Able Sisters,All Year,Yes,Cute,Yes
accessories,No,275,Beige,Beige,Able Sisters,All Year,Yes,Cute,Yes
accessories,No,275,Black,Black,Able Sisters,All Year,Yes,Cute,Yes
accessories,No,220,Green,Green,Able Sisters,All Year,Yes,Simple,Yes
accessories,No,220,Orange,Orange,Able Sisters,All Year,Yes,Simple,Yes
accessories,No,220,Light blue,Light blue,Able Sisters,All Year,No,Simple,Yes
accessories,No,220,Purple,Purple,Able Sisters,All Year,No,Simple,Yes
accessories,No,220,Red,Red,Able Sisters,All Year,Yes,Simple,Yes
accessories,No,220,Yellow,Yellow,Able Sisters,All Year,No,Simple,Yes
accessories,No,220,Black,Black,Able Sisters,All Year,No,Simple,Yes
accessories,No,140,Pink,Pink,Able Sisters,All Year,No,Cute,No
accessories,No,140,Light blue,Light blue,Able Sisters,All Year,No,Cute,No
accessories,No,140,Yellow,Yellow,Able Sisters,All Year,No,Cute,No
accessories,No,140,Green,Green,Able Sisters,All Year,No,Cute,No
accessories,No,140,Red,Red,Able Sisters,All Year,No,Cute,No
accessories,No,140,Gray,Gray,Able Sisters,All Year,No,Cute,No
accessories,No,140,Purple,Purple,Able Sisters,All Year,No,Cute,No
accessories,No,140,Orange,Orange,Able Sisters,All Year,No,Cute,No
accessories,No,140,Pink,Pink,Able Sisters,All Year,No,Cute,No
accessories,No,325,Black,Brown,Able Sisters,All Year,No,Cool,Yes
accessories,No,325,Yellow,Black,Able Sisters,All Year,Yes,Cool,Yes
accessories,No,330,Red,Black,Able Sisters,All Year,Yes,Cool,Yes
accessories,No,330,Green,Black,Able Sisters,All Year,No,Cool,Yes
accessories,No,330,Blue,Black,Able Sisters,All Year,Yes,Cool,Yes
accessories,No,330,Black,Black,Able Sisters,All Year,No,Cool,Yes
accessories,No,192,Black,Gray,Able Sisters,All Year,Yes,Cool,No
accessories,No,122,White,White,Able Sisters,All Year,No,Simple,Yes
accessories,No,140,Black,Black,Able Sisters,All Year,Yes,Cool,No
accessories,No,140,Gray,Black,Able Sisters,All Year,No,Cool,Yes
accessories,No,390,White,Orange,Able Sisters,All Year,No,Elegant,Yes
accessories,No,390,Green,Green,Able Sisters,All Year,No,Elegant,Yes
accessories,No,390,Pink,Red,Able Sisters,All Year,Yes,Elegant,Yes
accessories,No,390,Pink,Purple,Able Sisters,All Year,No,Elegant,Yes
accessories,No,390,Light blue,Green,Able Sisters,All Year,No,Elegant,Yes
accessories,No,390,Gray,Black,Able Sisters,All Year,No,Elegant,Yes
accessories,No,260,Red,Red,Able Sisters,All Year,No,Gorgeous,Yes
accessories,No,260,Brown,Black,Able Sisters,All Year,No,Gorgeous,Yes
accessories,No,260,Purple,Black,Able Sisters,All Year,No,Gorgeous,Yes
accessories,No,157,Black,Black,Able Sisters,All Year,Yes,Elegant,Yes
accessories,No,157,Yellow,Yellow,Able Sisters,All Year,No,Elegant,Yes
accessories,No,157,Gray,Gray,Able Sisters,All Year,No,Elegant,Yes
accessories,No,157,Brown,Brown,Able Sisters,All Year,Yes,Elegant,Yes
accessories,No,157,Purple,Purple,Able Sisters,All Year,Yes,Elegant,Yes
accessories,No,390,Black,Black,Able Sisters,All Year,Yes,Cool,Yes
accessories,No,390,Green,Black,Able Sisters,All Year,Yes,Cool,Yes
accessories,No,390,Blue,Black,Able Sisters,All Year,No,Cool,Yes
accessories,No,390,Yellow,Black,Able Sisters,All Year,No,Cool,Yes
accessories,No,390,Pink,Black,Able Sisters,All Year,No,Cool,Yes
accessories,No,390,Red,Black,Able Sisters,All Year,Yes,Cool,Yes
accessories,No,390,White,Black,Able Sisters,All Year,No,Cool,Yes
accessories,No,390,Purple,Black,Able Sisters,All Year,No,Cool,Yes
accessories,No,220,Orange,Brown,Able Sisters,All Year,Yes,Simple,Yes
accessories,No,220,Orange,Brown,Able Sisters,All Year,No,Simple,Yes
accessories,No,220,Brown,Brown,Able Sisters,All Year,Yes,Simple,Yes
accessories,No,220,Green,Brown,Able Sisters,All Year,No,Simple,Yes
accessories,No,245,Colorful,Colorful,Able Sisters,All Year,No,Cool,No
accessories,No,10,Black,Light blue,Recycle bin,All Year,No,Simple,Yes
accessories,No,245,Orange,White,Able Sisters,Winter,Yes,Active,Yes
accessories,No,245,Pink,Yellow,Able Sisters,Winter,No,Active,Yes
accessories,No,245,Green,Blue,Able Sisters,Winter,No,Active,Yes
accessories,No,245,Purple,Pink,Able Sisters,Winter,No,Active,Yes
accessories,No,245,Blue,Green,Able Sisters,Winter,No,Active,Yes
accessories,No,245,Light blue,Orange,Able Sisters,Winter,No,Active,Yes
accessories,No,325,Black,Orange,Able Sisters,All Year,No,Active,Yes
accessories,No,325,White,Orange,Able Sisters,All Year,No,Active,Yes
accessories,No,325,Pink,Pink,Able Sisters,All Year,No,Active,Yes
accessories,No,325,Green,Light blue,Able Sisters,All Year,No,Active,Yes
accessories,No,325,Light blue,Blue,Able Sisters,All Year,No,Active,Yes
accessories,No,220,Brown,Brown,Able Sisters,All Year,Yes,Simple,Yes
accessories,No,220,Black,Black,Able Sisters,All Year,Yes,Simple,Yes
accessories,No,220,Gray,Gray,Able Sisters,All Year,No,Simple,Yes
accessories,No,220,Blue,Blue,Able Sisters,All Year,Yes,Simple,Yes
accessories,No,192,Black,Orange,Able Sisters,All Year,No,Cute,Yes
accessories,No,192,Red,Black,Able Sisters,All Year,No,Cute,Yes
accessories,No,220,Yellow,Black,Able Sisters,All Year,No,Cute,Yes
accessories,No,220,Pink,Black,Able Sisters,All Year,No,Cute,Yes
accessories,No,220,Light blue,Black,Able Sisters,All Year,Yes,Cute,Yes
accessories,No,220,Purple,Black,Able Sisters,All Year,No,Cute,Yes
accessories,No,220,Green,Black,Able Sisters,All Year,No,Cute,Yes
accessories,No,325,Brown,Green,Able Sisters,All Year,No,Gorgeous,Yes
accessories,No,325,Brown,Purple,Able Sisters,All Year,No,Gorgeous,Yes
accessories,No,122,White,White,Able Sisters,All Year,No,Simple,No
accessories,No,260,Black,Black,Able Sisters,All Year,No,Cool,Yes
accessories,No,275,Yellow,Black,Able Sisters,All Year,Yes,Cool,Yes
accessories,No,275,Black,Black,Able Sisters,All Year,No,Cool,Yes
accessories,No,275,Red,Black,Able Sisters,All Year,No,Cool,Yes
accessories,No,260,Brown,Orange,Able Sisters,All Year,Yes,Simple,Yes
accessories,No,260,Orange,Beige,Able Sisters,All Year,No,Simple,Yes
accessories,No,260,Black,Beige,Able Sisters,All Year,Yes,Simple,Yes
accessories,No,220,Red,Purple,Able Sisters,All Year,No,Cute,Yes
accessories,No,220,Orange,Purple,Able Sisters,All Year,No,Cute,Yes
accessories,No,220,Light blue,Purple,Able Sisters,All Year,No,Cute,Yes
accessories,No,220,Purple,Purple,Able Sisters,All Year,No,Cute,Yes
accessories,No,220,Green,Purple,Able Sisters,All Year,No,Cute,Yes
accessories,No,220,White,Purple,Able Sisters,All Year,No,Cute,Yes
accessories,No,220,Black,Purple,Able Sisters,All Year,No,Cute,Yes
accessories,No,390,Brown,Gray,Able Sisters,All Year,Yes,Simple,Yes
accessories,No,390,Brown,Yellow,Able Sisters,All Year,Yes,Simple,Yes
bags,No,122,Green,White,Bug-Off,All Year,No,Active,No
bags,No,210,Pink,Yellow,Bug-Off,All Year,No,Cute,No
bags,No,325,White,Orange,Kicks,All Year,No,Simple,No
bags,No,350,Light blue,Light blue,Kicks,All Year,No,Simple,No
bags,No,350,Orange,Orange,Kicks,All Year,No,Simple,No
bags,No,350,White,White,Kicks,All Year,No,Simple,No
bags,No,175,Pink,Black,Kicks,All Year,No,Active,No
bags,No,175,Green,Black,Kicks,All Year,No,Active,No
bags,No,175,Yellow,Black,Kicks,All Year,No,Active,No
bags,No,175,White,Black,Kicks,All Year,No,Active,No
bags,No,420,Red,Black,Kicks,All Year,No,Simple,No
bags,No,420,Blue,Black,Kicks,All Year,No,Simple,No
bags,No,260,Yellow,Black,Kicks,All Year,No,Active,No
bags,No,260,Blue,Black,Kicks,All Year,No,Active,No
bags,No,312,Pink,Yellow,Kicks,All Year,No,Cute,No
bags,No,312,Blue,Yellow,Kicks,All Year,No,Cute,No
bags,No,312,Black,Yellow,Kicks,All Year,No,Cute,No
bags,No,525,Red,Red,Kicks,All Year,No,Active,No
bags,No,525,Green,Green,Kicks,All Year,No,Active,No
bags,No,525,Black,Black,Kicks,All Year,No,Active,No
bags,No,525,Blue,Blue,Kicks,All Year,No,Active,No
bags,No,350,Pink,Yellow,Kicks,All Year,No,Cute,No
bags,No,350,Purple,Yellow,Kicks,All Year,No,Cute,No
bags,No,210,Light blue,Blue,Fishing Tourney,All Year,No,Cute,No
bags,No,325,Green,Beige,Kicks,All Year,No,Active,No
bags,No,325,Blue,Light blue,Kicks,All Year,No,Active,No
bags,No,325,Gray,White,Kicks,All Year,No,Active,No
bags,No,325,Pink,Purple,Kicks,All Year,No,Active,No
bags,No,500,Pink,Green,Kicks,All Year,No,Simple,No
bags,No,500,Purple,Light blue,Kicks,All Year,No,Simple,No
bags,No,312,Green,Green,Kicks,All Year,No,Elegant,No
bags,No,312,Purple,Purple,Kicks,All Year,No,Elegant,No
bags,No,420,Blue,Black,Kicks,All Year,No,Cool,No
bags,No,420,Red,Black,Kicks,All Year,No,Cool,No
bags,No,420,Gray,Black,Kicks,All Year,No,Cool,No
bags,No,157,Blue,Black,Kicks,All Year,No,Active,No
bags,No,157,Black,Black,Kicks,All Year,No,Active,No
bags,Yes,400,Green,Brown,Crafting,All Year,No,Elegant,No
bags,No,210,Green,Black,Kicks,All Year,No,Simple,No
bags,No,210,Orange,Black,Kicks,All Year,No,Simple,No
bags,No,210,Black,Black,Kicks,All Year,No,Simple,No
bags,No,400,White,White,Kicks,All Year,No,Elegant,No
bags,No,400,Black,Black,Kicks,All Year,No,Elegant,No
bags,No,175,Yellow,Beige,Mom,All Year,No,Cute,No
bags,No,175,Gray,Beige,Mom,All Year,No,Cute,No
bags,No,175,Pink,Beige,Mom,All Year,No,Cute,No
bags,No,175,Colorful,Beige,Mom,All Year,No,Cute,No
bags,No,175,Light blue,Beige,Mom,All Year,No,Cute,No
bags,No,175,Blue,Beige,Mom,All Year,No,Cute,No
bags,No,175,White,Beige,Mom,All Year,No,Cute,No
bags,No,175,Orange,Beige,Mom,All Year,No,Cute,No
bags,No,390,Green,Black,Kicks,All Year,No,Active,No
bags,No,390,Orange,Black,Kicks,All Year,No,Active,No
bags,No,390,Blue,Black,Kicks,All Year,No,Active,No
bags,No,280,Blue,Brown,Kicks,All Year,No,Cool,No
bags,No,280,Black,White,Kicks,All Year,No,Cool,No
bags,No,600,Brown,Brown,Kicks,All Year,No,Elegant,No
bags,No,600,White,White,Kicks,All Year,No,Elegant,No
bags,No,600,Brown,Brown,Kicks,All Year,No,Elegant,No
bags,No,600,Blue,Blue,Kicks,All Year,No,Elegant,No
bags,No,350,White,Blue,Kicks,All Year,No,Active,No
bags,No,350,White,Red,Kicks,All Year,No,Active,No
bags,No,350,Black,Yellow,Kicks,All Year,No,Active,No
bags,No,245,Blue,Green,Kicks,All Year,No,Active,No
bags,No,245,Red,Yellow,Kicks,All Year,No,Active,No
bags,No,245,Black,White,Kicks,All Year,No,Active,No
bags,No,325,Yellow,Black,Kicks,All Year,No,Active,No
bags,No,325,Pink,Black,Kicks,All Year,No,Active,No
bags,No,325,Green,Black,Kicks,All Year,No,Active,No
bags,No,245,Brown,Brown,Kicks,All Year,No,Simple,No
bags,No,390,Black,Yellow,Kicks,All Year,No,Cool,No
bags,No,390,White,Gray,Kicks,All Year,No,Cool,No
bags,No,175,Blue,Orange,Fishing Tourney,All Year,No,Active,No
bags,No,227,Black,Yellow,Kicks,All Year,No,Active,No
bags,No,260,Green,Green,Kicks,All Year,No,Active,No
bags,No,260,Orange,Orange,Kicks,All Year,No,Active,No
bags,No,260,Blue,Blue,Kicks,All Year,No,Active,No
bags,No,260,Red,Red,Kicks,All Year,No,Active,No
bags,No,210,Pink,Black,Kicks,All Year,No,Active,No
bags,No,210,Green,Black,Kicks,All Year,No,Active,No
bags,No,210,Light blue,Black,Kicks,All Year,No,Active,No
bags,No,210,Purple,Black,Kicks,All Year,No,Active,No
bags,No,735,Orange,Beige,Kicks,All Year,No,Simple,No
bags,No,735,Blue,Beige,Kicks,All Year,No,Simple,No
bags,No,735,Brown,Beige,Kicks,All Year,No,Simple,No
bottoms,No,330,Blue,Blue,Able Sisters,All Year,Yes,Simple,No
bottoms,No,330,Black,Black,Able Sisters,All Year,No,Simple,No
bottoms,No,275,Yellow,Black,Able Sisters,All Year,No,Cool,No
bottoms,No,275,Gray,Black,Able Sisters,All Year,No,Cool,No
bottoms,No,175,White,Purple,Able Sisters,All Year,No,Simple,No
bottoms,No,175,White,Light blue,Able Sisters,All Year,No,Simple,No
bottoms,No,175,White,Beige,Able Sisters,All Year,No,Simple,No
bottoms,No,220,Red,White,Able Sisters,All Year,No,Active,No
bottoms,No,220,Green,White,Able Sisters,All Year,No,Active,No
bottoms,No,220,Black,White,Able Sisters,All Year,No,Active,No
bottoms,No,220,Blue,White,Able Sisters,All Year,No,Active,No
bottoms,No,220,Red,White,Able Sisters,All Year,No,Active,No
bottoms,No,220,Blue,White,Able Sisters,All Year,No,Active,No
bottoms,No,140,Red,White,Able Sisters,All Year,No,Active,No
bottoms,No,140,Green,White,Able Sisters,All Year,No,Active,No
bottoms,No,140,Black,White,Able Sisters,All Year,Yes,Active,No
bottoms,No,140,Blue,White,Able Sisters,All Year,No,Active,No
bottoms,No,140,Red,White,Able Sisters,All Year,No,Active,No
bottoms,No,140,Blue,White,Able Sisters,All Year,No,Active,No
bottoms,No,245,Purple,Yellow,Able Sisters,All Year,No,Active,No
bottoms,No,245,Red,Black,Able Sisters,All Year,No,Active,No
bottoms,No,245,Green,Orange,Able Sisters,All Year,No,Active,No
bottoms,No,245,Orange,Blue,Able Sisters,All Year,No,Active,No
bottoms,No,245,Blue,Red,Able Sisters,All Year,No,Active,No
bottoms,No,245,Yellow,Green,Able Sisters,All Year,No,Active,No
bottoms,No,245,Light blue,Blue,Able Sisters,All Year,No,Active,No
bottoms,No,245,Black,Red,Able Sisters,All Year,No,Active,No
bottoms,No,330,Orange,Orange,Able Sisters,All Year,No,Gorgeous,No
bottoms,No,330,Brown,Brown,Able Sisters,All Year,No,Gorgeous,No
bottoms,No,330,Beige,Beige,Able Sisters,All Year,No,Gorgeous,No
bottoms,No,330,Green,Green,Able Sisters,All Year,Yes,Gorgeous,No
bottoms,No,330,Blue,Blue,Able Sisters,All Year,No,Gorgeous,No
bottoms,No,260,Yellow,Black,Able Sisters,All Year,No,Simple,No
bottoms,No,260,Red,Black,Able Sisters,All Year,No,Simple,No
bottoms,No,260,Green,Black,Able Sisters,All Year,No,Simple,No
bottoms,No,260,Blue,Black,Able Sisters,All Year,No,Simple,No
bottoms,No,300,Purple,Black,Able Sisters,Winter,No,Active,No
bottoms,No,300,Green,Black,Able Sisters,Winter,No,Active,No
bottoms,No,300,Beige,Black,Able Sisters,Winter,No,Active,No
bottoms,No,300,Blue,Black,Able Sisters,Winter,No,Active,No
bottoms,No,300,Red,Black,Able Sisters,Winter,No,Active,No
bottoms,No,300,Orange,Black,Able Sisters,Winter,Yes,Active,No
bottoms,No,300,Light blue,Black,Able Sisters,Winter,No,Active,No
bottoms,No,300,Black,Black,Able Sisters,Winter,No,Active,No
bottoms,No,325,Green,Black,Able Sisters,Winter,No,Active,No
bottoms,No,325,Blue,Black,Able Sisters,Winter,No,Active,No
bottoms,No,325,Purple,Black,Able Sisters,Winter,No,Active,No
bottoms,No,325,Red,Black,Able Sisters,Winter,No,Active,No
bottoms,No,325,Yellow,Black,Able Sisters,Winter,No,Active,No
bottoms,No,325,Light blue,Black,Able Sisters,Winter,No,Active,No
bottoms,No,325,Beige,Black,Able Sisters,Winter,No,Active,No
bottoms,No,325,Brown,Black,Able Sisters,Winter,Yes,Active,No
bottoms,No,330,Green,Green,Able Sisters,All Year,No,Cool,No
bottoms,No,330,Black,Black,Able Sisters,All Year,No,Cool,No
bottoms,No,330,Blue,Blue,Able Sisters,All Year,No,Cool,No
bottoms,No,330,Brown,Brown,Able Sisters,All Year,No,Cool,No
bottoms,No,175,Black,Red,Able Sisters,Summer,No,Cool,No
bottoms,No,175,White,Red,Able Sisters,Summer,No,Cool,No
bottoms,No,330,Light blue,Light blue,Able Sisters,All Year,No,Simple,No
bottoms,No,330,Beige,Beige,Able Sisters,All Year,No,Simple,No
bottoms,No,330,Red,Red,Able Sisters,All Year,No,Simple,No
bottoms,No,330,Green,Green,Able Sisters,All Year,No,Simple,No
bottoms,No,300,Yellow,Yellow,Able Sisters,Summer,No,Simple,No
bottoms,No,300,White,White,Able Sisters,Summer,Yes,Simple,No
bottoms,No,300,Pink,Pink,Able Sisters,Summer,No,Simple,No
bottoms,No,300,Green,Green,Able Sisters,Summer,No,Simple,No
bottoms,No,300,Purple,Purple,Able Sisters,Summer,No,Simple,No
bottoms,No,455,Gray,Black,Able Sisters,All Year,Yes,Elegant,No
bottoms,No,455,Blue,Black,Able Sisters,All Year,No,Elegant,No
bottoms,No,455,Orange,Black,Able Sisters,All Year,No,Elegant,No
bottoms,No,455,Pink,Black,Able Sisters,All Year,No,Elegant,No
bottoms,No,455,Green,Black,Able Sisters,All Year,No,Elegant,No
bottoms,No,455,Purple,Black,Able Sisters,All Year,No,Elegant,No
bottoms,No,325,Brown,Beige,Able Sisters,All Year,No,Cool,No
bottoms,No,325,Green,Beige,Able Sisters,All Year,No,Cool,No
bottoms,No,325,Pink,Brown,Able Sisters,All Year,No,Cool,No
bottoms,No,325,Blue,Light blue,Able Sisters,All Year,No,Cool,No
bottoms,No,325,Gray,Black,Able Sisters,All Year,Yes,Cool,No
bottoms,No,325,Purple,Purple,Able Sisters,All Year,No,Cool,No
bottoms,No,325,Red,Beige,Able Sisters,All Year,No,Cool,No
bottoms,No,325,Brown,Beige,Able Sisters,All Year,No,Cool,No
bottoms,No,325,Green,Beige,Able Sisters,All Year,No,Cool,No
bottoms,No,325,Pink,Brown,Able Sisters,All Year,No,Cool,No
bottoms,No,325,Blue,Light blue,Able Sisters,All Year,No,Cool,No
bottoms,No,325,Gray,Black,Able Sisters,All Year,No,Cool,No
bottoms,No,325,Purple,Purple,Able Sisters,All Year,No,Cool,No
bottoms,No,325,Red,Beige,Able Sisters,All Year,No,Cool,No
bottoms,No,390,Gray,Gray,Able Sisters,All Year,No,Simple,No
bottoms,No,390,Beige,Beige,Able Sisters,All Year,No,Simple,No
bottoms,No,390,Pink,Pink,Able Sisters,All Year,No,Simple,No
bottoms,No,390,Light blue,Light blue,Able Sisters,All Year,No,Simple,No
bottoms,No,390,Pink,Pink,Able Sisters,All Year,No,Simple,No
bottoms,No,390,Green,Green,Able Sisters,All Year,No,Simple,No
bottoms,No,390,Blue,Blue,Able Sisters,All Year,No,Simple,No
